service_code,service_point_name,branch_name,full_address,amphor_name_th,province_name_th,post_code,telephone,mobiletel,lattitude,longtitude,service_group
B0180,B-Quik,โลตัส สมุทรปราการ,156/7 ถ.สายลาด ต.ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270,02-089-2406-7,084-4445555,13.71752011,100.6039598,B-Quik
T0002,บ. เจริญไทยมอเตอร์เซลส์ จำกัด,สุขุมวิท 71,229/1-3 ถ. สุขุมวิท 71 แขวงพระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,10110,027111620-4,084-4445556,13.71752011,100.6039598,TOYOTA
T0003,บ. เจริญไทยมอเตอร์เซลส์ จำกัด,พัฒนาการ,1944 ถ. พัฒนาการ แขวงสวนหลวง,ประเวศ,กรุงเทพมหานคร,10250,023200174-80,084-4445557,13.71752011,100.6039598,TOYOTA
T0004,บ. เจริญไทยมอเตอร์เซลส์ จำกัด,พหลโยธิน,1071 ถ. พหลโยธิน แขวงสามเสนใน,พญาไท,กรุงเทพมหานคร,10400,26172850,084-4445558,13.71752011,100.6039598,TOYOTA
T0005,บ. เจริญไทยมอเตอร์เซลส์ จำกัด,เพชรเกษม,88/126-127 ถ. เพชรเกษม แขวงหนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,"0243611512 ,024311514, 024312564",084-4445559,13.71752011,100.6039598,TOYOTA
T0007,บ. เจริญไทยมอเตอร์เซลส์ จำกัด,ศรีนครินทร์,69/63 ม. 2 ถ. ศรีนครินทร์ แขวงหนองบอน,ประเวศ,กรุงเทพมหานคร,10260,027433501-4,084-4445560,13.71752011,100.6039598,TOYOTA
T0008,บ. เจริญไทยมอเตอร์เซลส์ จำกัด,วิภาวดี-ดินแดง,88 ถนน วิภาวดีรังสิต แขวง ดินแดง,ดินแดง,กรุงเทพมหานคร,10400,22752888,084-4445561,13.71752011,100.6039598,TOYOTA
T0009,บ. โตโยต้า กรุงเทพยนต์ ผู้จำหน่ายโตโยต้า จำกัด,พระราม 9,801 ถ. พระราม 9 แขวงบางกะปิ,ห้ายขวาง,กรุงเทพมหานคร,10310,023199876-90,084-4445562,13.71752011,100.6039598,TOYOTA
T0010,บ. โตโยต้า กรุงเทพยนต์ ผู้จำหน่ายโตโยต้า จำกัด,ปะชาอุทิศ (เหม่งจ๋าย),623 ซ. รามคำแหง 39 (เทพลีลา1) แยกเหม่งจ๋าย ถ. เทพลีลา 1 แขวงวังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310,025143511-20,084-4445563,13.71752011,100.6039598,TOYOTA
T0011,บ. โตโยต้า กรุงเทพยนต์ ผู้จำหน่ายโตโยต้า จำกัด,วงศ์สว่าง,1652 ถนนกรุงเทพ-นนทบุรี แขวงบางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800,02-9109999,084-4445564,13.71752011,100.6039598,TOYOTA
T0012,บ. โตโยต้า กรุงเทพยนต์ ผู้จำหน่ายโตโยต้า จำกัด,ทองหล่อ,105 สุขุมวิท 55 (ทองหล่อ 5) แขวงคลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,10110,023810101-8,084-4445565,13.71752011,100.6039598,TOYOTA
T0014,บ. โตโยต้า กรุงไทย จำกัด,สำนักงานใหญ่,25/88 ม. 9 ถ. รามอินทรา กม. 8 แขวงคันนายาว,คันนายาว,กรุงเทพมหานคร,10230,25109999,084-4445566,13.71752011,100.6039598,TOYOTA
T0015,บ. โตโยต้า กรุงไทย จำกัด,ตลิ่งชัน,128/9 ถนนบรมราชชนนี ตลิ่งชัน ,ตลิ่งชัน,กรุงเทพมหานคร,10170,025109999 ext. 3,084-4445567,13.71752011,100.6039598,TOYOTA
